// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
BuildScript: C:\TOMÍK\8.M\Maturita\diessner_rocnikovaPrace\rpAproximace\rpAproximace\bin\Release\rpAproximace-DefaultJob-1.bat
// ***** Done, took 00:00:01 (2 sec)   *****
// Found 3 benchmarks:
//   MujBenchmark.Aproximace: DefaultJob
//   MujBenchmark.HeldKarp: DefaultJob
//   MujBenchmark.HrubaSila: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Vysoký výkon)
// **************************
// Benchmark: MujBenchmark.Aproximace: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: C:\TOMÍK\8.M\Maturita\diessner_rocnikovaPrace\rpAproximace\rpAproximace\bin\Release\rpAproximace-DefaultJob-1.exe --anonymousPipes 1772 1768 --benchmarkName rpAproximace.MujBenchmark.Aproximace --job Default --benchmarkId 0 in 
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET Framework 4.8.1 (4.8.9221.0), X86 LegacyJIT
// GC=Concurrent Workstation
// HardwareIntrinsics= 
// Job: DefaultJob

OverheadJitting  1: 1 op, 152300.00 ns, 152.3000 us/op
WorkloadJitting  1: 1 op, 1083800.00 ns, 1.0838 ms/op

OverheadJitting  2: 16 op, 337000.00 ns, 21.0625 us/op
WorkloadJitting  2: 16 op, 363700.00 ns, 22.7313 us/op

WorkloadPilot    1: 16 op, 44200.00 ns, 2.7625 us/op
WorkloadPilot    2: 32 op, 64900.00 ns, 2.0281 us/op
WorkloadPilot    3: 64 op, 116700.00 ns, 1.8234 us/op
WorkloadPilot    4: 128 op, 219400.00 ns, 1.7141 us/op
WorkloadPilot    5: 256 op, 478200.00 ns, 1.8680 us/op
WorkloadPilot    6: 512 op, 1023400.00 ns, 1.9988 us/op
WorkloadPilot    7: 1024 op, 1785400.00 ns, 1.7436 us/op
WorkloadPilot    8: 2048 op, 3581500.00 ns, 1.7488 us/op
WorkloadPilot    9: 4096 op, 6794600.00 ns, 1.6588 us/op
WorkloadPilot   10: 8192 op, 12592000.00 ns, 1.5371 us/op
WorkloadPilot   11: 16384 op, 23949000.00 ns, 1.4617 us/op
WorkloadPilot   12: 32768 op, 46496700.00 ns, 1.4190 us/op
WorkloadPilot   13: 65536 op, 95028500.00 ns, 1.4500 us/op
WorkloadPilot   14: 131072 op, 197492100.00 ns, 1.5067 us/op
WorkloadPilot   15: 262144 op, 394181000.00 ns, 1.5037 us/op
WorkloadPilot   16: 524288 op, 787270800.00 ns, 1.5016 us/op

OverheadWarmup   1: 524288 op, 1396400.00 ns, 2.6634 ns/op
OverheadWarmup   2: 524288 op, 1387900.00 ns, 2.6472 ns/op
OverheadWarmup   3: 524288 op, 1293900.00 ns, 2.4679 ns/op
OverheadWarmup   4: 524288 op, 1408600.00 ns, 2.6867 ns/op
OverheadWarmup   5: 524288 op, 1379300.00 ns, 2.6308 ns/op
OverheadWarmup   6: 524288 op, 1399600.00 ns, 2.6695 ns/op
OverheadWarmup   7: 524288 op, 1342700.00 ns, 2.5610 ns/op

OverheadActual   1: 524288 op, 1389300.00 ns, 2.6499 ns/op
OverheadActual   2: 524288 op, 1383400.00 ns, 2.6386 ns/op
OverheadActual   3: 524288 op, 1355600.00 ns, 2.5856 ns/op
OverheadActual   4: 524288 op, 1394400.00 ns, 2.6596 ns/op
OverheadActual   5: 524288 op, 1354400.00 ns, 2.5833 ns/op
OverheadActual   6: 524288 op, 1372800.00 ns, 2.6184 ns/op
OverheadActual   7: 524288 op, 1382200.00 ns, 2.6363 ns/op
OverheadActual   8: 524288 op, 1387100.00 ns, 2.6457 ns/op
OverheadActual   9: 524288 op, 1422000.00 ns, 2.7122 ns/op
OverheadActual  10: 524288 op, 1505800.00 ns, 2.8721 ns/op
OverheadActual  11: 524288 op, 1350200.00 ns, 2.5753 ns/op
OverheadActual  12: 524288 op, 1393900.00 ns, 2.6587 ns/op
OverheadActual  13: 524288 op, 1386400.00 ns, 2.6443 ns/op
OverheadActual  14: 524288 op, 1386400.00 ns, 2.6443 ns/op
OverheadActual  15: 524288 op, 1377800.00 ns, 2.6279 ns/op

WorkloadWarmup   1: 524288 op, 1303514300.00 ns, 2.4863 us/op
WorkloadWarmup   2: 524288 op, 1235152400.00 ns, 2.3559 us/op
WorkloadWarmup   3: 524288 op, 1263161900.00 ns, 2.4093 us/op
WorkloadWarmup   4: 524288 op, 1283798400.00 ns, 2.4487 us/op
WorkloadWarmup   5: 524288 op, 1219391600.00 ns, 2.3258 us/op
WorkloadWarmup   6: 524288 op, 1271952300.00 ns, 2.4261 us/op
WorkloadWarmup   7: 524288 op, 1271013600.00 ns, 2.4243 us/op

// BeforeActualRun
WorkloadActual   1: 524288 op, 1349896300.00 ns, 2.5747 us/op
WorkloadActual   2: 524288 op, 1306164300.00 ns, 2.4913 us/op
WorkloadActual   3: 524288 op, 1286414100.00 ns, 2.4536 us/op
WorkloadActual   4: 524288 op, 1283797400.00 ns, 2.4486 us/op
WorkloadActual   5: 524288 op, 1322080100.00 ns, 2.5217 us/op
WorkloadActual   6: 524288 op, 1270191600.00 ns, 2.4227 us/op
WorkloadActual   7: 524288 op, 1273076300.00 ns, 2.4282 us/op
WorkloadActual   8: 524288 op, 1278137200.00 ns, 2.4379 us/op
WorkloadActual   9: 524288 op, 1211271000.00 ns, 2.3103 us/op
WorkloadActual  10: 524288 op, 1252801000.00 ns, 2.3895 us/op
WorkloadActual  11: 524288 op, 1276839800.00 ns, 2.4354 us/op
WorkloadActual  12: 524288 op, 1323960200.00 ns, 2.5253 us/op
WorkloadActual  13: 524288 op, 1261852900.00 ns, 2.4068 us/op
WorkloadActual  14: 524288 op, 1268228000.00 ns, 2.4190 us/op
WorkloadActual  15: 524288 op, 1270062400.00 ns, 2.4225 us/op
WorkloadActual  16: 524288 op, 1187522800.00 ns, 2.2650 us/op
WorkloadActual  17: 524288 op, 1262605000.00 ns, 2.4082 us/op
WorkloadActual  18: 524288 op, 1306213200.00 ns, 2.4914 us/op
WorkloadActual  19: 524288 op, 1283743300.00 ns, 2.4485 us/op
WorkloadActual  20: 524288 op, 1246786000.00 ns, 2.3781 us/op
WorkloadActual  21: 524288 op, 1270727800.00 ns, 2.4237 us/op
WorkloadActual  22: 524288 op, 1245975600.00 ns, 2.3765 us/op
WorkloadActual  23: 524288 op, 1264734000.00 ns, 2.4123 us/op

// AfterActualRun
WorkloadResult   1: 524288 op, 1304777900.00 ns, 2.4887 us/op
WorkloadResult   2: 524288 op, 1285027700.00 ns, 2.4510 us/op
WorkloadResult   3: 524288 op, 1282411000.00 ns, 2.4460 us/op
WorkloadResult   4: 524288 op, 1268805200.00 ns, 2.4201 us/op
WorkloadResult   5: 524288 op, 1271689900.00 ns, 2.4256 us/op
WorkloadResult   6: 524288 op, 1276750800.00 ns, 2.4352 us/op
WorkloadResult   7: 524288 op, 1209884600.00 ns, 2.3077 us/op
WorkloadResult   8: 524288 op, 1251414600.00 ns, 2.3869 us/op
WorkloadResult   9: 524288 op, 1275453400.00 ns, 2.4327 us/op
WorkloadResult  10: 524288 op, 1260466500.00 ns, 2.4041 us/op
WorkloadResult  11: 524288 op, 1266841600.00 ns, 2.4163 us/op
WorkloadResult  12: 524288 op, 1268676000.00 ns, 2.4198 us/op
WorkloadResult  13: 524288 op, 1186136400.00 ns, 2.2624 us/op
WorkloadResult  14: 524288 op, 1261218600.00 ns, 2.4056 us/op
WorkloadResult  15: 524288 op, 1304826800.00 ns, 2.4888 us/op
WorkloadResult  16: 524288 op, 1282356900.00 ns, 2.4459 us/op
WorkloadResult  17: 524288 op, 1245399600.00 ns, 2.3754 us/op
WorkloadResult  18: 524288 op, 1269341400.00 ns, 2.4211 us/op
WorkloadResult  19: 524288 op, 1244589200.00 ns, 2.3739 us/op
WorkloadResult  20: 524288 op, 1263347600.00 ns, 2.4096 us/op
// GC:  159 0 0 833791232 524288
// Threading:  0 0 524288

// AfterAll
// Benchmark Process 39696 has exited with code 0.

Mean = 2.411 μs, StdErr = 0.012 μs (0.49%), N = 20, StdDev = 0.053 μs
Min = 2.262 μs, Q1 = 2.400 μs, Median = 2.420 μs, Q3 = 2.438 μs, Max = 2.489 μs
IQR = 0.038 μs, LowerFence = 2.343 μs, UpperFence = 2.495 μs
ConfidenceInterval = [2.365 μs; 2.457 μs] (CI 99.9%), Margin = 0.046 μs (1.92% of Mean)
Skewness = -1.11, Kurtosis = 4.26, MValue = 2

// ** Remained 2 (66,7 %) benchmark(s) to run. Estimated finish 2026-01-04 16:03 (0h 1m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Vysoký výkon)
// **************************
// Benchmark: MujBenchmark.HeldKarp: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: C:\TOMÍK\8.M\Maturita\diessner_rocnikovaPrace\rpAproximace\rpAproximace\bin\Release\rpAproximace-DefaultJob-1.exe --anonymousPipes 1796 1856 --benchmarkName rpAproximace.MujBenchmark.HeldKarp --job Default --benchmarkId 1 in 
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET Framework 4.8.1 (4.8.9221.0), X86 LegacyJIT
// GC=Concurrent Workstation
// HardwareIntrinsics= 
// Job: DefaultJob

OverheadJitting  1: 1 op, 262100.00 ns, 262.1000 us/op
WorkloadJitting  1: 1 op, 2947500.00 ns, 2.9475 ms/op

OverheadJitting  2: 16 op, 557000.00 ns, 34.8125 us/op
WorkloadJitting  2: 16 op, 24151100.00 ns, 1.5094 ms/op

WorkloadPilot    1: 16 op, 21838000.00 ns, 1.3649 ms/op
WorkloadPilot    2: 32 op, 40341400.00 ns, 1.2607 ms/op
WorkloadPilot    3: 64 op, 80200700.00 ns, 1.2531 ms/op
WorkloadPilot    4: 128 op, 164275200.00 ns, 1.2834 ms/op
WorkloadPilot    5: 256 op, 332280200.00 ns, 1.2980 ms/op
WorkloadPilot    6: 512 op, 685655800.00 ns, 1.3392 ms/op

OverheadWarmup   1: 512 op, 6700.00 ns, 13.0859 ns/op
OverheadWarmup   2: 512 op, 2600.00 ns, 5.0781 ns/op
OverheadWarmup   3: 512 op, 2500.00 ns, 4.8828 ns/op
OverheadWarmup   4: 512 op, 2800.00 ns, 5.4688 ns/op
OverheadWarmup   5: 512 op, 2500.00 ns, 4.8828 ns/op
OverheadWarmup   6: 512 op, 2500.00 ns, 4.8828 ns/op
OverheadWarmup   7: 512 op, 2500.00 ns, 4.8828 ns/op

OverheadActual   1: 512 op, 2800.00 ns, 5.4688 ns/op
OverheadActual   2: 512 op, 2700.00 ns, 5.2734 ns/op
OverheadActual   3: 512 op, 2600.00 ns, 5.0781 ns/op
OverheadActual   4: 512 op, 2600.00 ns, 5.0781 ns/op
OverheadActual   5: 512 op, 2400.00 ns, 4.6875 ns/op
OverheadActual   6: 512 op, 2400.00 ns, 4.6875 ns/op
OverheadActual   7: 512 op, 2500.00 ns, 4.8828 ns/op
OverheadActual   8: 512 op, 2600.00 ns, 5.0781 ns/op
OverheadActual   9: 512 op, 2600.00 ns, 5.0781 ns/op
OverheadActual  10: 512 op, 2400.00 ns, 4.6875 ns/op
OverheadActual  11: 512 op, 2400.00 ns, 4.6875 ns/op
OverheadActual  12: 512 op, 2400.00 ns, 4.6875 ns/op
OverheadActual  13: 512 op, 2300.00 ns, 4.4922 ns/op
OverheadActual  14: 512 op, 2400.00 ns, 4.6875 ns/op
OverheadActual  15: 512 op, 2400.00 ns, 4.6875 ns/op
OverheadActual  16: 512 op, 2400.00 ns, 4.6875 ns/op
OverheadActual  17: 512 op, 2300.00 ns, 4.4922 ns/op
OverheadActual  18: 512 op, 2400.00 ns, 4.6875 ns/op
OverheadActual  19: 512 op, 2400.00 ns, 4.6875 ns/op

WorkloadWarmup   1: 512 op, 637289500.00 ns, 1.2447 ms/op
WorkloadWarmup   2: 512 op, 653082400.00 ns, 1.2756 ms/op
WorkloadWarmup   3: 512 op, 643393200.00 ns, 1.2566 ms/op
WorkloadWarmup   4: 512 op, 665936600.00 ns, 1.3007 ms/op
WorkloadWarmup   5: 512 op, 667547300.00 ns, 1.3038 ms/op
WorkloadWarmup   6: 512 op, 666537100.00 ns, 1.3018 ms/op

// BeforeActualRun
WorkloadActual   1: 512 op, 669130300.00 ns, 1.3069 ms/op
WorkloadActual   2: 512 op, 669357700.00 ns, 1.3073 ms/op
WorkloadActual   3: 512 op, 668314300.00 ns, 1.3053 ms/op
WorkloadActual   4: 512 op, 640370900.00 ns, 1.2507 ms/op
WorkloadActual   5: 512 op, 662626500.00 ns, 1.2942 ms/op
WorkloadActual   6: 512 op, 636940700.00 ns, 1.2440 ms/op
WorkloadActual   7: 512 op, 640495300.00 ns, 1.2510 ms/op
WorkloadActual   8: 512 op, 660107900.00 ns, 1.2893 ms/op
WorkloadActual   9: 512 op, 676705100.00 ns, 1.3217 ms/op
WorkloadActual  10: 512 op, 678306800.00 ns, 1.3248 ms/op
WorkloadActual  11: 512 op, 697795600.00 ns, 1.3629 ms/op
WorkloadActual  12: 512 op, 717976100.00 ns, 1.4023 ms/op
WorkloadActual  13: 512 op, 663826500.00 ns, 1.2965 ms/op
WorkloadActual  14: 512 op, 627779100.00 ns, 1.2261 ms/op
WorkloadActual  15: 512 op, 680311400.00 ns, 1.3287 ms/op
WorkloadActual  16: 512 op, 721847100.00 ns, 1.4099 ms/op
WorkloadActual  17: 512 op, 579449500.00 ns, 1.1317 ms/op
WorkloadActual  18: 512 op, 566022000.00 ns, 1.1055 ms/op
WorkloadActual  19: 512 op, 558771700.00 ns, 1.0914 ms/op
WorkloadActual  20: 512 op, 605366500.00 ns, 1.1824 ms/op
WorkloadActual  21: 512 op, 575015200.00 ns, 1.1231 ms/op
WorkloadActual  22: 512 op, 547834100.00 ns, 1.0700 ms/op
WorkloadActual  23: 512 op, 544965600.00 ns, 1.0644 ms/op
WorkloadActual  24: 512 op, 564734300.00 ns, 1.1030 ms/op
WorkloadActual  25: 512 op, 554919200.00 ns, 1.0838 ms/op
WorkloadActual  26: 512 op, 549899800.00 ns, 1.0740 ms/op
WorkloadActual  27: 512 op, 546918000.00 ns, 1.0682 ms/op
WorkloadActual  28: 512 op, 546783000.00 ns, 1.0679 ms/op
WorkloadActual  29: 512 op, 542791600.00 ns, 1.0601 ms/op
WorkloadActual  30: 512 op, 543329400.00 ns, 1.0612 ms/op
Workloa
